id,observed_on_string,observed_on,time_observed_at,quality_grade,license,url,image_url,tag_list,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,coordinates_obscured,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
30204507,Sun Aug 04 2019 16:37:38 GMT-0400 (EDT),2019-08-04,2019-08-04 20:37:38 UTC,research,CC0,https://www.inaturalist.org/observations/30204507,https://inaturalist-open-data.s3.amazonaws.com/photos/47175665/medium.jpg,"",false,"Letchworth State Park, Mount Morris, NY, US",42.7161841002,-77.9190070555,10,,false,,Livingston,New York,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
30590203,2019/08/10 11:59 AM EDT,2019-08-10,2019-08-10 15:59:00 UTC,research,CC0,https://www.inaturalist.org/observations/30590203,https://inaturalist-open-data.s3.amazonaws.com/photos/47798907/medium.jpeg,"",false,"Kawartha Lakes, ON, Canada",44.6187163889,-79.055735,10,,false,,Kawartha Lakes,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
31550559,2019/08/24 1:29 PM HST,2019-08-24,2019-08-24 23:29:00 UTC,research,CC0,https://www.inaturalist.org/observations/31550559,https://inaturalist-open-data.s3.amazonaws.com/photos/49388295/medium.jpeg,"",false,"Marrowstone, WA 98358, USA",48.0187000418,-122.6711087265,,,false,,Jefferson,Washington,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
31890202,2019-08-29 1:16:51 PM MDT,2019-08-29,2019-08-29 19:16:51 UTC,research,CC0,https://www.inaturalist.org/observations/31890202,https://inaturalist-open-data.s3.amazonaws.com/photos/49960182/medium.jpeg,"",false,"Eagle County, US-CO, US",39.41632442,-106.31047481,8,,false,,Eagle,Colorado,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
32110947,Sat Jun 15 2019 20:24:52 GMT-0800 (AKDT),2019-06-15,2019-06-16 04:24:52 UTC,research,CC0,https://www.inaturalist.org/observations/32110947,https://inaturalist-open-data.s3.amazonaws.com/photos/50331595/medium.jpg,"",false,"99588, Valdez, AK, US",62.112008825,-145.971922297,16,,false,,Valdez-Cordova,Alaska,United States,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
32471512,2019/07/03 9:52 AM EDT,2019-07-03,2019-07-03 13:52:00 UTC,research,CC0,https://www.inaturalist.org/observations/32471512,https://inaturalist-open-data.s3.amazonaws.com/photos/50931828/medium.jpg,"",false,,,,5,,true,,,,,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
32482237,2019/07/03 12:41 PM EDT,2019-07-03,2019-07-03 16:41:00 UTC,research,CC0,https://www.inaturalist.org/observations/32482237,https://inaturalist-open-data.s3.amazonaws.com/photos/50948591/medium.jpg,"",false,,,,5,,true,,,,,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
32487935,2019/07/03 4:06 PM EDT,2019-07-03,2019-07-03 20:06:00 UTC,research,CC0,https://www.inaturalist.org/observations/32487935,https://inaturalist-open-data.s3.amazonaws.com/photos/50957737/medium.jpg,"",false,,,,5,,true,,,,,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
32636325,2019/09/12 8:00 AM EDT,2019-09-12,2019-09-12 12:00:00 UTC,research,CC0,https://www.inaturalist.org/observations/32636325,https://inaturalist-open-data.s3.amazonaws.com/photos/51203937/medium.jpeg,"",false,"Cochrane District, ON, Canada",50.0580626464,-82.1515970024,122,,false,,Cochrane,Ontario,Canada,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
32644572,2019/07/04 8:06 AM EDT,2019-07-04,2019-07-04 12:06:00 UTC,research,CC0,https://www.inaturalist.org/observations/32644572,https://inaturalist-open-data.s3.amazonaws.com/photos/51217374/medium.jpg,"",false,,,,10,,true,,,,,Canadian buffalo-berry,Shepherdia canadensis,Canadian buffalo-berry,Plantae,79072
